RowId , Time  , TimeInterval  , FEBF:904  , FEBF:905  , FEBF:906  , FEBF:907  , FEBF:908  , FEBF:909  , FEBF:910  , Difference  , Label 
3155,1543528060.280811,0.1001889705657959,14.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6329793400256676,-1.0
3156,1543528060.381537,0.10072588920593262,13.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.1295003289233483,-1.0
3157,1543528060.481544,0.1000070571899414,13.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.571321431601563,-1.0
3158,1543528060.581526,0.09998202323913574,14.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7566349222694455,-1.0
3159,1543528060.681653,0.10012698173522949,14.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32814887396480974,-1.0
3160,1543528060.781862,0.10020899772644043,14.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16020876989715813,-1.0
3161,1543528060.882552,0.10068988800048828,14.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16051069995799827,-1.0
3162,1543528060.982399,0.09984707832336426,14.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09985063534031163,-1.0
3163,1543528061.082618,0.1002190113067627,14.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693399126781049,-1.0
3164,1543528061.182845,0.10022711753845215,14.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693426723632512,-1.0
3165,1543528061.283064,0.1002187728881836,14.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32817686162928444,-1.0
3166,1543528061.383605,0.1005411148071289,14.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16041701802169553,-1.0
3167,1543528061.483614,0.10000896453857422,14.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11793356677378208,-1.0
3168,1543528061.583699,0.10008502006530762,14.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16013124937349416,-1.0
3169,1543528061.683929,0.10022997856140137,15.0625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21260837146120226,-1.0
