RowId , Time  , TimeInterval  , FDA3:3470  , FDA3:641  , FDA3:3675  , FDA3:5369  , FDA3:5366  , FDA3:5367  , FDA3:5368  , Difference  , Label 
2986,1543528199.241079,0.1000821590423584,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10008219284352163,-1.0
2987,1543528199.44111,0.20003080368041992,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.22361139055517767,-1.0
2988,1543528199.5411,0.0999901294708252,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.14144314224416346,-1.0
2989,1543528199.74149,0.20038986206054688,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.2241343416809049,-1.0
2990,1543528199.84098,0.09949016571044922,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.1417005356257857,-1.0
2991,1543528199.940983,0.10000300407409668,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000431904188452,-1.0
2992,1543528200.041031,0.10004782676696777,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10004783680753417,-1.0
2993,1543528200.141031,0.10000014305114746,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000015441981433,-1.0
2994,1543528200.241063,0.10003209114074707,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10003209624251187,-1.0
2995,1543528200.441016,0.1999528408050537,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.2235291810021416,-1.0
2996,1543528200.54102,0.10000395774841309,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.14138801501406126,-1.0
2997,1543528200.642018,0.1009981632232666,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10100305648345416,-1.0
2998,1543528200.74002,0.09800195693969727,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09804774763401747,-1.0
2999,1543528201.140004,0.39998388290405273,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.5011788006212398,-1.0
3000,1543528201.440009,0.3000051975250244,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.31622595730291914,-1.0
3001,1543528201.641039,0.20102977752685547,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.2240738833874018,-1.0
3002,1543528201.740991,0.09995222091674805,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.14215174609008457,-1.0
3003,1543528201.839992,0.09900093078613281,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09900550110692469,-1.0
3004,1543528201.941033,0.10104084014892578,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10106142987415714,-1.0
3005,1543528202.041023,0.0999901294708252,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999564982798731,-1.0
3006,1543528202.141022,0.09999895095825195,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999895134734924,-1.0
3007,1543528202.241063,0.10004115104675293,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10004115994732721,-1.0
3008,1543528202.34102,0.09995698928833008,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09995702471957094,-1.0
3009,1543528202.441015,0.09999489784240723,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999490502806595,-1.0
3010,1543528202.541012,0.09999704360961914,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0999970436326414,-1.0
3011,1543528202.641016,0.10000395774841309,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.1000039579874302,-1.0
3012,1543528202.741055,0.10003900527954102,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10003901141879339,-1.0
3013,1543528202.941009,0.19995403289794922,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.22352768959603514,-1.0
