RowId , Time  , TimeInterval  , FE6E:1592  , FE6E:1593  , FE6E:1594  , FE6E:1595  , Difference  , Label 
20200,1543528164.508792,0.018949031829833984,50.5,50.375,54.0,54.375,1.007962643968563,-1.0
20201,1543528164.528854,0.020061969757080078,50.375,50.25,54.375,53.5,0.9684542948747575,-1.0
20202,1543528164.548867,0.020013093948364258,50.875,50.75,54.0,53.5,0.8006406973906777,-1.0
20203,1543528164.568929,0.020061969757080078,50.25,50.75,54.0,54.5,1.1794182824678354,-1.0
20204,1543528164.590073,0.02114415168762207,51.625,50.75,53.375,54.5,1.5105291279112496,-1.0
20205,1543528164.609568,0.019495010375976562,51.625,51.375,54.25,54.0,1.1860155037336675,-1.0
20206,1543528164.629597,0.02002882957458496,51.0,50.875,54.625,54.125,0.8929033760587226,-1.0
20207,1543528164.649601,0.0200040340423584,51.75,51.625,54.75,54.625,1.1794172976486255,-1.0
20208,1543528164.66952,0.01991891860961914,51.375,51.5,54.625,54.875,0.4845325278690931,-1.0
20209,1543528164.690668,0.021148204803466797,51.625,51.25,54.625,54.875,0.35418746125597916,-1.0
20210,1543528164.709556,0.018887996673583984,51.875,52.125,54.0,54.625,1.132082976181133,-1.0
20211,1543528164.729631,0.020074844360351562,51.5,51.875,54.75,54.375,0.9102359078741752,-1.0
20212,1543528164.749557,0.019926071166992188,52.625,52.125,55.625,54.875,1.5310607664118414,-1.0
20213,1543528164.769523,0.01996588706970215,52.75,52.5,55.5,55.5,0.7502657117527004,-1.0
20214,1543528164.790689,0.021166086196899414,51.5,51.875,55.75,55.75,1.4417262027454587,-1.0
20215,1543528164.809545,0.018856048583984375,53.0,52.125,55.25,55.5,1.6202965428716976,-1.0
20216,1543528164.829589,0.02004384994506836,53.0,52.5,55.125,54.75,0.8480289893586739,-1.0
20217,1543528164.849549,0.01996016502380371,52.5,52.5,55.5,55.125,0.7291422461981911,-1.0
20218,1543528164.869656,0.020107030868530273,52.875,52.625,55.5,56.0,0.9603537443358694,-1.0
20219,1543528164.890783,0.021126985549926758,52.875,53.0,56.0,56.625,0.8841365221649758,-1.0
20220,1543528164.909684,0.01890087127685547,52.875,53.0,56.125,56.5,0.177798196053225,-1.0
20221,1543528164.929744,0.020060062408447266,53.125,52.875,56.125,56.625,0.30684483021212916,-1.0
20222,1543528164.949754,0.020009994506835938,53.0,53.125,55.875,56.375,0.45113789730741793,-1.0
