RowId , Time  , TimeInterval  , FEF1:69  , FEF1:70  , FEF1:1633  , FEF1:3807  , FEF1:84  , FEF1:595  , FEF1:596  , FEF1:597  , FEF1:598  , FEF1:599  , FEF1:600  , FEF1:601  , FEF1:602  , FEF1:86  , FEF1:976  , FEF1:527  , FEF1:968  , FEF1:967  , FEF1:966  , FEF1:1237  , Difference  , Label 
4479,1543528224.091071,0.09906792640686035,3.0,3.0,0.0,3.0,41.9766,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1416431419506572,-1.0
4480,1543528224.192005,0.10093402862548828,3.0,3.0,0.0,3.0,41.9922,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10214950059623996,-1.0
4481,1543528224.291065,0.09906005859375,3.0,3.0,0.0,3.0,41.8438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.17843476951613332,-1.0
4482,1543528224.391065,0.09999990463256836,3.0,3.0,0.0,3.0,41.6406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.22647539433037855,-1.0
4483,1543528224.49106,0.09999513626098633,3.0,3.0,0.0,3.0,41.5625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.12688040549505847,-1.0
4484,1543528224.591054,0.09999394416809082,3.0,3.0,0.0,3.0,41.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11791962886522477,-1.0
4485,1543528224.691311,0.10025691986083984,3.0,3.0,0.0,3.0,41.3125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.2126211869409957,-1.0
4486,1543528224.792012,0.10070109367370605,3.0,3.0,0.0,3.0,41.2812,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10545424390443782,-1.0
4487,1543528224.891052,0.09904003143310547,3.0,3.0,0.0,3.0,41.1719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1475065319029538,-1.0
4488,1543528224.991049,0.09999704360961914,3.0,3.0,0.0,3.0,41.0625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1482183679675709,-1.0
