RowId , Time  , TimeInterval  , FCFD:5262  , FCFD:5263  , FCFD:5313  , FCFD:5314  , Difference  , Label 
3036,1543528113.630279,0.10030102729797363,-1.0,-1.0,136.5,-1.0,1.862103746936203,-1.0
3037,1543528113.730142,0.09986305236816406,-1.0,-1.0,135.6094,-1.0,0.8961814442680327,-1.0
3038,1543528113.830172,0.10002994537353516,-1.0,-1.0,135.3984,-1.0,0.23351020925154653,-1.0
3039,1543528113.930981,0.10080885887145996,-1.0,-1.0,135.457,-1.0,0.11660614363403556,-1.0
3040,1543528114.030659,0.09967803955078125,-1.0,-1.0,140.2969,-1.0,4.840926460949497,-1.0
3041,1543528114.132379,0.10172009468078613,-1.0,-1.0,145.3984,-1.0,5.102514419151717,-1.0
3042,1543528114.230376,0.09799695014953613,-1.0,-1.0,145.1562,-1.0,0.26130079227551095,-1.0
3043,1543528114.330373,0.09999704360961914,-1.0,-1.0,143.3984,-1.0,1.7606431350800549,-1.0
3044,1543528114.431574,0.10120105743408203,-1.0,-1.0,146.2578,-1.0,2.8611905675216796,-1.0
3045,1543528114.530371,0.09879684448242188,-1.0,-1.0,143.2578,-1.0,3.0016273247556233,-1.0
3046,1543528114.630365,0.09999394416809082,-1.0,-1.0,139.8398,-1.0,3.4194625633157605,-1.0
3047,1543528114.730366,0.10000109672546387,-1.0,-1.0,148.8281,-1.0,8.988856273708999,-1.0
3048,1543528114.830392,0.10002589225769043,-1.0,-1.0,147.0078,-1.0,1.8230461512909586,-1.0
3049,1543528114.93136,0.1009681224822998,-1.0,-1.0,138.0781,-1.0,8.930270854770047,-1.0
3050,1543528115.029975,0.09861493110656738,-1.0,-1.0,168.7383,-1.0,30.660358681563835,-1.0
3051,1543528115.129979,0.10000395774841309,-1.0,-1.0,173.1797,-1.0,4.442525934753814,-1.0
3052,1543528115.229977,0.09999799728393555,-1.0,-1.0,143.0664,-1.0,30.113466032482826,-1.0
3053,1543528115.32998,0.10000300407409668,-1.0,-1.0,139.5391,-1.0,3.528717315236358,-1.0
3054,1543528115.430968,0.10098814964294434,-1.0,-1.0,148.0469,-1.0,8.508399403934924,-1.0
3055,1543528115.529966,0.0989980697631836,-1.0,-1.0,133.1094,-1.0,14.937828183113995,-1.0
3056,1543528115.629984,0.10001778602600098,-1.0,-1.0,116.4375,-1.0,16.672200041006665,-1.0
3057,1543528115.729965,0.09998106956481934,-1.0,-1.0,118.2969,-1.0,1.8620860816888678,-1.0
3058,1543528115.829965,0.10000014305114746,-1.0,-1.0,127.1797,-1.0,8.88336286937408,-1.0
3059,1543528115.931009,0.1010439395904541,-1.0,-1.0,124.1484,-1.0,3.032983787829929,-1.0
3060,1543528116.030003,0.09899401664733887,-1.0,-1.0,118.5,-1.0,5.649267791273131,-1.0
3061,1543528116.131,0.1009969711303711,-1.0,-1.0,123.5195,-1.0,5.02051637284494,-1.0
